Abatiá;RS 18 - Cornélio Procópio;2.568;2.568;2.568
Adrianópolis;RS 02 - Curitiba;1.460;1.279;1.372
Agudos do Sul;RS 02 - Curitiba;2.168;2.022;2.109
Almirante Tamandaré;RS 02 - Curitiba;38.919;36.839;32.755
Altamira do Paraná;RS 11 - Campo Mourão;1.109;1.000;1.047
Alto Paraíso;RS 12 - Umuarama;1.237;1.096;1.167
Alto Paraná;RS 14 - Paranavaí;5.433;5.003;5.210
Alto Piquiri;RS 12 - Umuarama;3.800;3.450;3.633
Altônia;RS 12 - Umuarama;7.198;6.412;6.805
Alvorada do Sul;RS 17 - Londrina;5.479;5.247;5.478
Amaporã;RS 14 - Paranavaí;1.811;1.662;1.745
Ampére;RS 08 - Francisco Beltrão;7.078;6.330;6.428
Anahy;RS 10 - Cascavel;1.110;1.001;1.060
Andirá;RS 18 - Cornélio Procópio;8.749;8.083;8.623
Ângulo;RS 15 - Maringá;1.543;1.540;1.318
Antonina;RS 01 - Paranaguá;6.650;6.338;6.650
Antônio Olinto;RS 06 - União da Vitória;1.065;947;1.031
Apucarana;RS 16 - Apucarana;56.561;51.181;50.826
Arapongas;RS 16 - Apucarana;52.473;47.041;47.936
Arapoti;RS 03 - Ponta Grossa;9.544;8.739;8.874
Arapuã;RS 22 - Ivaiporã;833;753;814
Araruna;RS 11 - Campo Mourão;5.613;5.181;5.463
Araucária;RS 02 - Curitiba;52.918;48.655;42.123
Ariranha do Ivaí;RS 22 - Ivaiporã;530;465;515
Assaí;RS 17 - Londrina;5.822;5.313;5.321
Assis Chateaubriand;RS 20 - Toledo;15.350;13.870;14.488
Astorga;RS 15 - Maringá;11.195;10.237;10.686
Atalaia;RS 15 - Maringá;1.683;1.489;1.583
Balsa Nova;RS 02 - Curitiba;4.967;4.649;4.671
Bandeirantes;RS 18 - Cornélio Procópio;13.473;12.284;13.414
Barbosa Ferraz;RS 11 - Campo Mourão;4.562;4.172;4.422
Barra do Jacaré;RS 19 - Jacarezinho;958;844;913
Barracão;RS 08 - Francisco Beltrão;2.960;2.547;2.588
Bela Vista da Caroba;RS 08 - Francisco Beltrão;856;750;775
Bela Vista do Paraíso;RS 17 - Londrina;6.748;6.203;6.582
Bituruna;RS 06 - União da Vitória;4.123;3.686;3.782
Boa Esperança;RS 11 - Campo Mourão;1.690;1.491;1.639
Boa Esperança do Iguaçu;RS 08 - Francisco Beltrão;557;463;521
Boa Ventura de São Roque;RS 05 - Guarapuava;1.420;1.140;1.420
Boa Vista da Aparecida;RS 10 - Cascavel;2.748;2.454;2.613
Bocaiúva do Sul;RS 02 - Curitiba;3.837;3.571;3.654
Bom Jesus do Sul;RS 08 - Francisco Beltrão;646;568;597
Bom Sucesso;RS 16 - Apucarana;2.553;2.364;2.463
Bom Sucesso do Sul;RS 07 - Pato Branco;823;704;741
Borrazópolis;RS 16 - Apucarana;3.203;2.951;3.107
Braganey;RS 10 - Cascavel;1.723;1.564;1.630
Brasilândia do Sul;RS 12 - Umuarama;1.451;1.301;1.389
Cafeara;RS 17 - Londrina;1.068;972;1.048
Cafelândia;RS 10 - Cascavel;7.374;6.717;6.906
Cafezal do Sul;RS 12 - Umuarama;1.877;1.698;1.792
Califórnia;RS 16 - Apucarana;3.331;3.038;3.230
Cambará;RS 19 - Jacarezinho;9.574;8.728;9.279
Cambé;RS 17 - Londrina;46.173;42.181;39.494
Cambira;RS 16 - Apucarana;3.657;3.317;3.521
Campina da Lagoa;RS 11 - Campo Mourão;6.343;5.803;6.063
Campina do Simão;RS 05 - Guarapuava;735;666;689
Campina Grande do Sul;RS 02 - Curitiba;16.771;15.539;14.066
Campo Bonito;RS 10 - Cascavel;1.150;1.031;1.066
Campo do Tenente;RS 02 - Curitiba;2.589;2.377;2.497
Campo Largo;RS 02 - Curitiba;44.669;41.619;38.892
Campo Magro;RS 02 - Curitiba;8.079;7.519;7.253
Campo Mourão;RS 11 - Campo Mourão;44.599;40.425;39.881
Cândido de Abreu;RS 22 - Ivaiporã;2.741;2.408;2.562
