Abatiá;RS 18 - Cornélio Procópio;476;464;476
Adrianópolis;RS 02 - Curitiba;...;...;...
Agudos do Sul;RS 02 - Curitiba;757;646;712
Almirante Tamandaré;RS 02 - Curitiba;23.184;21.880;18.952
Altamira do Paraná;RS 11 - Campo Mourão;335;290;305
Alto Paraíso;RS 12 - Umuarama;275;256;249
Alto Paraná;RS 14 - Paranavaí;3.516;3.231;3.370
Alto Piquiri;RS 12 - Umuarama;2.258;2.115;2.163
Altônia;RS 12 - Umuarama;4.499;3.919;4.188
Alvorada do Sul;RS 17 - Londrina;...;...;...
Amaporã;RS 14 - Paranavaí;935;875;898
Ampére;RS 08 - Francisco Beltrão;5.452;4.841;4.907
Anahy;RS 10 - Cascavel;...;...;...
Andirá;RS 18 - Cornélio Procópio;5.612;5.075;5.144
Ângulo;RS 15 - Maringá;...;...;...
Antonina;RS 01 - Paranaguá;...;...;...
Antônio Olinto;RS 06 - União da Vitória;...;...;...
Apucarana;RS 16 - Apucarana;45.274;41.014;39.522
Arapongas;RS 16 - Apucarana;37.610;33.551;32.840
Arapoti;RS 03 - Ponta Grossa;7.320;6.676;6.807
Arapuã;RS 22 - Ivaiporã;...;...;...
Araruna;RS 11 - Campo Mourão;3.219;2.975;3.120
Araucária;RS 02 - Curitiba;44.375;41.090;32.808
Ariranha do Ivaí;RS 22 - Ivaiporã;...;...;...
Assaí;RS 17 - Londrina;4.170;3.818;3.718
Assis Chateaubriand;RS 20 - Toledo;6.551;5.572;6.033
Astorga;RS 15 - Maringá;8.210;7.480;7.797
Atalaia;RS 15 - Maringá;...;...;...
Balsa Nova;RS 02 - Curitiba;1.081;948;988
Bandeirantes;RS 18 - Cornélio Procópio;12.988;11.841;12.929
Barbosa Ferraz;RS 11 - Campo Mourão;1.910;1.641;1.829
Barra do Jacaré;RS 19 - Jacarezinho;...;...;...
Barracão;RS 08 - Francisco Beltrão;...;...;...
Bela Vista da Caroba;RS 08 - Francisco Beltrão;...;...;...
Bela Vista do Paraíso;RS 17 - Londrina;2.878;2.545;2.759
Bituruna;RS 06 - União da Vitória;1.083;978;988
Boa Esperança;RS 11 - Campo Mourão;...;...;...
Boa Esperança do Iguaçu;RS 08 - Francisco Beltrão;...;...;...
Boa Ventura de São Roque;RS 05 - Guarapuava;...;...;...
Boa Vista da Aparecida;RS 10 - Cascavel;...;...;...
Bocaiúva do Sul;RS 02 - Curitiba;1.897;1.728;1.795
Bom Jesus do Sul;RS 08 - Francisco Beltrão;...;...;...
Bom Sucesso;RS 16 - Apucarana;...;...;...
Bom Sucesso do Sul;RS 07 - Pato Branco;...;...;...
Borrazópolis;RS 16 - Apucarana;...;...;...
Braganey;RS 10 - Cascavel;...;...;...
Brasilândia do Sul;RS 12 - Umuarama;...;...;...
Cafeara;RS 17 - Londrina;...;...;...
Cafelândia;RS 10 - Cascavel;6.395;5.836;5.960
Cafezal do Sul;RS 12 - Umuarama;...;...;...
Califórnia;RS 16 - Apucarana;544;466;516
Cambará;RS 19 - Jacarezinho;9.266;8.466;8.970
Cambé;RS 17 - Londrina;44.417;40.844;37.646
Cambira;RS 16 - Apucarana;...;...;...
Campina da Lagoa;RS 11 - Campo Mourão;...;...;...
Campina do Simão;RS 05 - Guarapuava;...;...;...
Campina Grande do Sul;RS 02 - Curitiba;14.231;13.212;11.685
